X,Y,species,dbh,rbh,AGE,a,b,H,R,ZOI
12.76425152,12.91724576,3,4.038787092,2.019393546,1,8.209,0.5352,244.7657979,11.6654296145194,427.515990603649
12.77274175,16.14173234,3,4.020956011,2.0104780055,1,8.209,0.5352,244.2938736,11.6396499299657,425.628524866139
12.98610185,19.0715556,3,4.016186563,2.0080932815,1,8.209,0.5352,244.1676378,11.6327447093094,425.123666541126
12.68152537,22.29163882,3,4.023351737,2.0116758685,1,8.209,0.5352,244.3572818,11.6431169238257,425.882118618613
12.62039201,25.77223737,3,3.996167769,1.9980838845,1,8.209,0.5352,243.6377616,11.6037166209765,423.004625761642
12.61410173,28.7104991,3,4.071452254,2.035726127,1,8.209,0.5352,245.6302379,11.7125088196185,430.973681928434
12.80124294,32.144272,3,3.990209124,1.995104562,1,8.209,0.5352,243.4800343,11.5950623019327,422.373887878757
12.68748667,35.30898441,3,4.027944761,2.0139723805,1,8.209,0.5352,244.4788446,11.6497608696464,426.368302009938
12.93563323,38.40031742,3,4.014629286,2.007314643,1,8.209,0.5352,244.1264198,11.6304891913072,424.958824769541
12.62028905,41.72423694,3,4.081229512,2.040614756,1,8.209,0.5352,245.8889577,11.7265637004717,432.008629808587
13.03128003,44.60706599,3,4.077348898,2.038674449,1,8.209,0.5352,245.7862725,11.7209873061983,431.597856846168
12.62992753,47.87821943,3,3.968718927,1.9843594635,1,8.209,0.5352,242.9111499,11.5637961982936,420.099095311226
12.72178547,51.35980503,3,3.972724701,1.9863623505,1,8.209,0.5352,243.0171937,11.5696306088788,420.523116781221
13.00367554,54.51458039,3,4.07658132,2.03829066,1,8.209,0.5352,245.7659614,11.7198839918047,431.516606742719
12.59842383,57.5370555,3,4.074902048,2.037451024,1,8.209,0.5352,245.7215254,11.7174698488383,431.33885148694
12.89040925,60.57341002,3,4.01122607,2.005613035,1,8.209,0.5352,244.0363428,11.6255585419378,424.598585612008
12.5829442,63.9321638,3,3.970168681,1.9850843405,1,8.209,0.5352,242.949529,11.565908105104,420.252555497001
12.98493381,67.38826163,3,3.970637322,1.985318661,1,8.209,0.5352,242.9619353,11.5665907081912,420.302162350937
12.70076393,70.18372172,3,4.041452201,2.0207261005,1,8.209,0.5352,244.8363307,11.6692778632128,427.798099238804
12.90176262,73.81481377,3,4.044296629,2.0221483145,1,8.209,0.5352,244.9116085,11.6733836376697,428.099189250834
12.73892753,76.5516894,3,3.984568232,1.992284116,1,8.209,0.5352,243.3307145,11.586863530325,421.77678496733
12.66022475,80.02554798,3,4.04348276,2.02174138,1,8.209,0.5352,244.8900695,11.6722090102919,428.013039126099
12.89820634,83.21109663,3,3.97058056,1.98529028,1,8.209,0.5352,242.9604326,11.5665080331551,420.296153947397
12.8277755,86.32981714,3,3.977996778,1.988998389,1,8.209,0.5352,243.1567575,11.5773049086325,421.081179677296
12.67371373,89.36019701,3,3.960794745,1.9803973725,1,8.209,0.5352,242.7013699,11.5522459457574,419.260300286808
12.99338503,93.00367944,3,3.992347736,1.996173868,1,8.209,0.5352,243.5366445,11.5981691588509,422.600265453725
12.82341098,96.0649505,3,4.030505882,2.015252941,1,8.209,0.5352,244.5466284,11.653463962377,426.639403248114
12.86788024,99.23887302,3,4.073639449,2.0368197245,1,8.209,0.5352,245.688115,11.7156543926967,431.205202138776
12.90887873,102.3867088,3,4.067076477,2.0335382385,1,8.209,0.5352,245.5144455,11.7062131416329,430.510494690235
12.93311461,105.4453062,3,4.010367812,2.005183906,1,8.209,0.5352,244.0136261,11.6243147498621,424.507736797573
13.01772915,108.9649794,3,4.03740548,2.01870274,1,8.209,0.5352,244.7292328,11.6634341545252,427.369743423653
16.01319343,12.88010021,3,4.063978437,2.0319892185,1,8.209,0.5352,245.4324634,11.7017537682057,430.182559196395
15.80017492,16.13556808,3,4.06148729,2.030743645,1,8.209,0.5352,245.3665406,11.6981667342382,429.918864885904
16.13855815,19.04603485,3,3.987833681,1.9939168405,1,8.209,0.5352,243.4171544,11.5916104139219,422.122441133947
15.81260529,22.47599914,3,4.043713345,2.0218566725,1,8.209,0.5352,244.8961719,11.6725418171944,428.037447140794
16.0139367,25.48390067,3,4.076045338,2.038022669,1,8.209,0.5352,245.7517786,11.7191135112405,431.459871670912
